Angle,Distance_mm
0,5201.0
1,5170.0
2,5186.0
3,5186.0
4,5170.0
5,5201.0
6,5186.0
7,5201.0
8,5201.0
9,5217.0
10,5248.0
11,5248.0
12,5264.0
13,5295.0
14,5310.0
15,5341.0
16,11715.0
17,11264.0
18,11124.0
19,8730.0
20,8699.0
21,8746.0
22,7906.0
23,5668.0
24,5668.0
25,5699.0
26,5730.0
27,5777.0
28,5839.0
29,5885.0
30,5916.0
31,5963.0
32,6056.0
33,6103.0
34,6150.0
35,5994.0
36,5699.0
37,5668.0
38,5621.0
39,5590.0
40,5435.0
41,5372.0
42,4890.0
43,4735.0
44,4735.0
45,4657.0
46,4611.0
47,2823.0
48,2885.0
49,2901.0
50,2916.0
51,2885.0
52,4129.0
53,4067.0
54,1222.0
55,1284.0
56,1315.0
57,1346.0
58,1424.0
59,1455.0
60,1486.0
61,1533.0
62,1626.0
63,1672.0
64,1735.0
65,2232.0
66,2605.0
67,2061.0
68,2045.9999999999998
69,2045.9999999999998
70,2061.0
71,2201.0
72,2170.0
73,2170.0
74,2170.0
75,2170.0
76,1284.0
77,1268.0
78,1268.0
79,1113.0
80,1082.0
81,1082.0
82,1082.0
83,1082.0
84,1082.0
85,1082.0
86,1097.0
87,1113.0
88,1128.0
89,1159.0
90,1190.0
91,3429.0
92,3445.0
93,569.0
94,569.0
95,584.0
96,615.0
97,615.0
98,615.0
99,615.0
100,615.0
101,615.0
102,615.0
103,615.0
104,615.0
105,615.0
106,600.0
107,615.0
108,600.0
109,615.0
110,615.0
111,600.0
112,600.0
113,600.0
114,600.0
115,600.0
116,553.0
117,553.0
118,2683.0
119,2683.0
120,2714.0
121,2730.0
122,2730.0
123,2776.0
124,2792.0
125,2838.0
126,4175.0
127,4253.0
128,4284.0
129,4346.0
130,4362.0
131,4424.0
132,4517.0
133,4595.0
134,4642.0
135,4704.0
136,4751.0
137,55.0
138,55.0
139,4238.0
140,4222.0
141,5264.0
142,5357.0
143,5466.0
144,2621.0
145,2605.0
146,2559.0
147,2559.0
148,2528.0
149,2559.0
150,2045.9999999999998
151,2015.0000000000002
152,1984.0
153,1968.0
154,1953.0
155,1953.0
156,1953.0
157,1953.0
158,1968.0
159,1984.0
160,2015.0000000000002
161,6290.0
162,6274.0
163,8140.000000000001
164,8249.0
165,8233.0
166,8202.0
167,8170.999999999999
168,8140.000000000001
169,4019.9999999999995
170,2170.0
171,2326.0
172,2388.0
173,4160.0
174,1953.0
175,1953.0
176,1953.0
177,1937.0
178,1937.0
179,1937.0
180,1921.0
181,1937.0
182,1937.0
183,1937.0
184,1921.0
185,1937.0
186,1937.0
187,4098.0
188,7751.0
189,7767.0
190,2466.0
191,2326.0
192,2092.0
193,2015.0000000000002
194,2015.0000000000002
195,2029.9999999999998
196,2029.9999999999998
197,2045.9999999999998
198,2045.9999999999998
199,2077.0
200,2077.0
201,2092.0
202,2092.0
203,2108.0
204,2124.0
205,2668.0
206,2730.0
207,8404.0
208,5621.0
209,7969.0
210,7642.0
211,6663.0
212,6570.0
213,6414.0
214,6476.0
215,6523.0
216,6585.0
217,6429.0
218,4019.9999999999995
219,4035.0
220,4113.0
221,0.0
222,0.0
223,0.0
224,0.0
225,5326.0
226,4704.0
227,4611.0
228,4502.0
229,4409.0
230,4409.0
231,4517.0
232,4548.0
233,89.0
234,4673.0
235,926.0
236,4424.0
237,4409.0
238,4440.0
239,1004.0
240,1018.9999999999999
241,1004.0
242,1066.0
243,988.0
244,957.0
245,942.0
246,942.0
247,833.0
248,833.0
249,277.0
250,270.0
251,267.0
252,265.0
253,255.0
254,253.0
255,240.0
256,240.0
257,234.0
258,231.0
259,229.0
260,228.0
261,241.0
262,301.0
263,307.0
264,310.0
265,311.0
266,319.0
267,322.0
268,324.0
269,331.0
270,345.0
271,347.0
272,358.0
273,363.0
274,377.0
275,386.0
276,391.0
277,380.0
278,385.0
279,390.0
280,393.0
281,395.0
282,388.0
283,385.0
284,382.0
285,382.0
286,382.0
287,382.0
288,389.0
289,911.0
290,864.0
291,848.0
292,817.0
293,786.0
294,771.0
295,709.0
296,724.0
297,677.0
298,631.0
299,615.0
300,615.0
301,584.0
302,569.0
303,553.0
304,538.0
305,522.0
306,522.0
307,3134.0
308,3040.0
309,3025.0
310,3087.0
311,3880.0
312,3709.0
313,3740.0
314,3787.0
315,4548.0
316,4657.0
317,4688.0
318,1222.0
319,4455.0
320,4440.0
321,3973.0
322,3864.0
323,3864.0
324,3880.0
325,5932.0
326,5730.0
327,5606.0
328,5466.0
329,5372.0
330,5155.0
331,6072.0
332,5994.0
333,5948.0
334,5854.0
335,5808.0
336,5792.0
337,5745.0
338,5714.0
339,5668.0
340,5606.0
341,5574.0
342,5543.0
343,5512.0
344,5466.0
345,5450.0
346,5419.0
347,5403.0
348,5341.0
349,5341.0
350,5326.0
351,5279.0
352,5264.0
353,5264.0
354,5248.0
355,5232.0
356,5217.0
357,5186.0
358,5201.0
359,5186.0
